,identificador,Página,Promedio de tiempo en la página,Número de visitas a páginas,Número de visitas a páginas únicas
0,245701u,page1,10.0,1,1
1,1120u,page1,37.0,1,1
2,267373u,page1,3.0,3,3
3,149066u,page1,8.8,10,6
4,149066u,page2,7.33333333333,4,3
5,149066u,page3,0.0,2,1
6,149066u,page4,0.0,1,1
7,90480u,page1,0.0,1,1
8,40689u,page3,74.0,1,1
9,40689u,page1,12.0,1,1
10,40689u,page2,9.0,1,1
11,40689u,page4,7.0,1,1
12,176035u,page1,18.0,1,1
13,176035u,page3,16.0,1,1
14,176035u,page4,13.0,1,1
15,176035u,page2,5.0,1,1
16,291774u,page3,33.0,1,1
17,291774u,page1,20.5,2,2
18,291774u,page4,5.0,1,1
19,291774u,page2,4.0,1,1
20,96542u,page1,93.0,1,1
21,45944u,page1,5.0,1,1
22,285953u,page1,0.0,1,1
23,281411u,page3,19.0,1,1
24,281411u,page1,9.0,1,1
25,281411u,page2,7.0,1,1
26,281411u,page4,6.0,1,1
27,248752u,page3,14.2941176471,17,5
28,248752u,page1,10.2564102564,39,11
29,248752u,page4,10.0,2,2
30,248752u,page2,9.26315789474,19,9
31,238047u,page1,2.0,1,1
32,179895u,page3,31.5,2,2
33,179895u,page4,23.5,2,2
34,179895u,page1,23.2,5,5
35,179895u,page2,9.5,2,2
36,125838u,page3,14.0,1,1
37,125838u,page1,11.5,2,1
38,125838u,page2,8.5,2,1
39,125838u,page4,3.0,1,1
40,224278u,page3,9.0,2,2
41,224278u,page1,8.0,2,2
42,224278u,page4,6.0,2,2
43,224278u,page2,4.0,2,2
44,247753u,page1,93.3333333333,3,2
45,218099u,page1,5.0,1,1
46,192022u,page1,21.0,1,1
47,213833u,page1,16.0,1,1
48,61649u,page3,16.5,2,2
49,61649u,page1,16.5,2,2
50,61649u,page4,4.5,2,2
51,61649u,page2,3.5,2,2
52,207805u,page1,55.0,1,1
53,210815u,page1,0.0,3,1
54,543u,page1,56.0,1,1
55,543u,page4,20.0,1,1
56,543u,page3,16.0,1,1
57,543u,page2,7.0,1,1
58,105294u,page1,1.0,1,1
59,91839u,page1,32.6666666667,3,2
60,91839u,page3,9.0,2,2
61,91839u,page4,4.0,2,2
62,91839u,page2,2.5,2,2
63,119612u,page3,11.0,1,1
64,119612u,page1,10.0,1,1
65,119612u,page2,7.0,1,1
66,119612u,page4,5.0,1,1
67,192696u,page1,2.0,1,1
68,258347u,page3,25.75,4,2
69,258347u,page4,15.0,1,1
70,258347u,page1,11.8,10,4
71,258347u,page2,7.33333333333,3,2
72,169443u,page1,23.0,1,1
73,31882u,page1,10.0,1,1
74,269268u,page1,5.0,1,1
75,35678u,page1,4.0,1,1
76,282867u,page1,41.0,1,1
77,282867u,page3,11.0,1,1
78,282867u,page2,9.0,1,1
79,282867u,page4,8.0,1,1
80,129549u,page1,3.0,1,1
81,69955u,page1,11.0,2,2
82,166746u,page1,48.0,1,1
83,54077u,page1,39.5,2,2
84,9842u,page1,13.5,2,1
85,9842u,page2,12.0,1,1
86,50897u,page1,7.0,1,1
87,40647u,page1,13.0,1,1
88,220674u,page3,28.0,1,1
89,220674u,page4,28.0,1,1
90,220674u,page1,19.0,1,1
91,220674u,page2,8.0,1,1
92,89221u,page1,5.0,1,1
93,227627u,page3,41.0,2,1
94,227627u,page1,23.25,8,4
95,227627u,page4,23.0,1,1
96,227627u,page2,12.0,1,1
97,1847u,page1,10.0,1,1
98,187462u,page3,10.5,4,2
99,187462u,page1,7.5,4,2
100,187462u,page4,3.75,4,2
101,187462u,page2,2.75,4,2
102,59840u,page1,3.0,1,1
103,274255u,page1,24.5,2,1
104,10106u,page3,26.3333333333,3,3
