,identificador,Página,error,Número de visitas a páginas
0,284744u,page3,user_error,20
1,222252u,page3,user_error,18
2,171630u,page3,user_error,12
3,11180u,page3,user_error,11
4,31015u,page3,user_error,11
5,210241u,page3,user_error,10
6,226735u,page3,user_error,9
7,257135u,page3,user_error,9
8,67916u,page3,user_error,8
9,24268u,page3,user_error,8
10,144833u,page3,user_error,8
11,67822u,page3,user_error,7
12,286450u,page3,user_error,7
13,149943u,page3,user_error,7
14,11180u,page3,user_error,7
15,73527u,page3,user_error,7
16,53337u,page3,user_error,7
17,195179u,page3,user_error,7
18,208443u,page3,user_error,6
19,140340u,page3,user_error,6
20,138236u,page3,user_error,6
21,248752u,page3,user_error,5
22,120067u,page3,user_error,5
23,63767u,page3,user_error,5
24,3130u,page3,user_error,5
25,276950u,page3,user_error,5
26,194220u,page3,user_error,5
27,4106u,page3,user_error,5
28,298973u,page3,user_error,5
29,269704u,page3,user_error,5
30,129749u,page3,user_error,5
31,219303u,page3,user_error,5
32,248752u,page3,user_error,4
33,163588u,page3,user_error,4
34,205515u,page3,user_error,4
35,37563u,page3,user_error,4
36,239946u,page3,user_error,4
37,192900u,page3,user_error,4
38,82509u,page3,user_error,4
39,23715u,page3,user_error,4
40,63805u,page3,process_error,4
41,38033u,page3,user_error,4
42,69120u,page3,user_error,4
43,110441u,page3,user_error,4
44,110441u,page3,user_error,4
45,126063u,page3,user_error,4
46,82624u,page3,user_error,4
47,18497u,page3,user_error,4
48,74105u,page3,user_error,4
49,222252u,page3,user_error,4
50,284744u,page3,user_error,4
51,251690u,page3,user_error,4
52,141270u,page3,user_error,4
53,141270u,page3,user_error,4
54,12460u,page3,user_error,4
55,236268u,page3,user_error,4
56,190805u,page3,user_error,4
57,189147u,page3,user_error,4
58,31015u,page3,user_error,4
59,152272u,page3,user_error,4
60,14537u,page3,user_error,4
61,67822u,page3,user_error,3
62,89901u,page3,user_error,3
63,37007u,page3,user_error,3
64,37007u,page3,user_error,3
65,42930u,page3,user_error,3
66,154313u,page3,user_error,3
67,196072u,page3,user_error,3
68,222908u,page3,user_error,3
69,23715u,page3,user_error,3
70,69883u,page3,user_error,3
71,246943u,page3,user_error,3
72,55268u,page3,user_error,3
73,206305u,page3,process_error,3
74,65919u,page3,process_error,3
75,273194u,page3,user_error,3
76,150975u,page3,user_error,3
77,82624u,page3,user_error,3
78,163330u,page3,user_error,3
79,112656u,page3,user_error,3
80,172589u,page3,user_error,3
81,258991u,page3,user_error,3
82,48444u,page3,user_error,3
83,253636u,page3,user_error,3
84,258934u,page3,user_error,3
85,168485u,page3,user_error,3
86,280217u,page3,user_error,3
87,249189u,page3,user_error,3
88,237214u,page3,user_error,3
89,288930u,page3,user_error,3
90,9429u,page3,user_error,3
91,111999u,page3,user_error,3
92,140983u,page3,process_error,3
93,236524u,page3,user_error,3
94,242171u,page3,user_error,3
95,178640u,page3,user_error,3
96,273729u,page3,user_error,3
97,193949u,page3,user_error,3
98,119836u,page3,process_error,3
99,30844u,page3,user_error,3
100,30844u,page3,process_error,3
101,194442u,page3,user_error,3
102,281375u,page3,user_error,3
103,194834u,page3,user_error,3
104,237962u,page3,user_error,3
105,237962u,page3,user_error,3
106,295919u,page3,user_error,3
107,275363u,page3,user_error,3
108,88933u,page3,user_error,3
109,295710u,page3,user_error,3
110,194103u,page3,user_error,3
111,64033u,page3,user_error,3
112,249584u,page3,user_error,2
113,30723u,page3,user_error,2
114,1105u,page3,user_error,2
115,27892u,page3,user_error,2
116,243625u,page3,user_error,2
117,183150u,page3,user_error,2
118,288810u,page3,user_error,2
119,225380u,page3,user_error,2
120,372u,page3,user_error,2
121,182694u,page3,user_error,2
122,16002u,page3,user_error,2
123,27064u,page3,user_error,2
124,66983u,page3,user_error,2
125,66983u,page3,user_error,2
126,202273u,page3,user_error,2
127,6889u,page3,user_error,2
128,244069u,page3,user_error,2
129,37563u,page3,user_error,2
130,281601u,page3,user_error,2
131,281601u,page3,user_error,2
132,86093u,page3,user_error,2
133,158529u,page3,user_error,2
134,173938u,page3,user_error,2
135,173938u,page3,user_error,2
136,239946u,page3,user_error,2
137,198028u,page3,user_error,2
138,208675u,page3,user_error,2
139,226151u,page3,user_error,2
140,9971u,page3,user_error,2
141,9971u,page3,user_error,2
142,57320u,page3,user_error,2
143,67656u,page3,user_error,2
144,116192u,page3,user_error,2
145,125351u,page3,user_error,2
146,63767u,page3,user_error,2
147,43000u,page3,user_error,2
148,117624u,page3,user_error,2
149,117624u,page3,user_error,2
150,242278u,page3,user_error,2
151,228885u,page3,user_error,2
152,36265u,page3,user_error,2
153,174379u,page3,user_error,2
154,52696u,page3,user_error,2
155,89870u,page3,user_error,2
156,112959u,page3,user_error,2
157,274228u,page3,user_error,2
158,110290u,page3,user_error,2
159,204680u,page3,user_error,2
160,45397u,page3,user_error,2
161,37558u,page3,user_error,2
162,37558u,page3,user_error,2
163,149943u,page3,user_error,2
