identificador,ssoo,profundidad,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,avg_tiempo_pag4,vistas_pag4,vistas_unicas_pag4,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,Y
100016u,0,1,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,880,306,197.58,0.0,0.0,15.0,182.58,0
100018u,0,4,24.0,1,1,5.0,1.0,1.0,53.0,1.0,1.0,4.0,1.0,1.0,20,146,60,166.9,0.0,0.0,82.0,80.9,1
100026u,1,1,33.6666666667,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,502,213,199.625,0.0,0.0,33.6666666667,165.958333333,0
100027u,1,1,19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,609,264,111.293478261,0.0,0.0,19.0,92.293478261,0
100036u,1,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,100,35,197.571428571,0.0,0.0,5.0,192.571428571,0
100048u,1,4,25.0,3,1,14.0,1.0,1.0,12.0,1.0,1.0,25.0,1.0,1.0,4,52,26,651.5,0.0,0.0,51.0,575.5,1
100058u,1,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,459,164,117.764705882,0.0,0.0,7.0,110.764705882,0
100061u,0,4,22.0,1,1,4.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,88,1571,336,154.488636364,0.0,0.0,35.0,117.488636364,1
100082u,1,4,15.8,5,3,10.6666666667,3.0,2.0,7.0,1.0,1.0,5.0,1.0,1.0,46,421,141,165.347826087,0.0,0.0,33.4666666667,126.88115942,1
100084u,1,1,4.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,297,132,65.9268292683,0.0,0.0,4.0,61.9268292683,0
100091u,1,4,16.5,2,2,6.0,2.0,2.0,28.5,2.0,2.0,6.0,2.0,2.0,24,278,114,325.416666667,0.0,0.0,51.0,268.416666667,1
100103u,1,4,59.0,1,1,13.0,1.0,1.0,81.0,1.0,1.0,4.0,1.0,1.0,100,438,247,107.0,0.0,0.0,153.0,-50.0,1
100113u,1,4,24.0,2,1,5.0,1.0,1.0,51.0,1.0,1.0,5.0,1.0,1.0,61,730,233,318.426229508,0.0,0.0,80.0,233.426229508,1
100116u,0,4,24.0,1,1,4.0,1.0,1.0,9.0,1.0,1.0,5.0,1.0,1.0,29,426,146,201.448275862,0.0,0.0,37.0,159.448275862,1
100122u,0,3,15.5,2,1,4.0,1.0,1.0,19.0,4.0,1.0,0.0,0.0,0.0,48,477,183,217.9375,0.0,0.0,38.5,179.4375,0
100151u,1,4,7.0,6,3,5.5,4.0,3.0,9.0,2.0,2.0,3.0,2.0,2.0,17,211,87,440.058823529,0.0,0.0,21.5,415.558823529,1
100161u,1,4,5.0,1,1,4.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,13,152,60,235.076923077,0.0,0.0,15.0,216.076923077,1
100182u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,90,39,123.357142857,0.0,0.0,3.0,120.357142857,0
100187u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,161,49,499.375,0.0,0.0,3.0,496.375,0
100193u,0,1,12.3333333333,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,237,98,94.96,0.0,0.0,12.3333333333,82.6266666667,0
100198u,1,4,16.0,1,1,10.0,1.0,1.0,14.0,1.0,1.0,13.0,1.0,1.0,73,420,194,57.5342465753,0.0,0.0,40.0,4.5342465753,1
100202u,1,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,188,111,193.142857143,0.0,0.0,6.0,187.142857143,0
100205u,1,4,6.5,20,14,4.0625,16.0,14.0,12.4375,16.0,14.0,9.86666666667,15.0,14.0,172,1320,538,359.343023256,1.0,0.0,23.0,326.476356589,1
100231u,1,4,5.5,2,1,6.5,2.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,201,1549,676,192.134328358,0.0,0.0,20.0,169.134328358,1
