,identificador,Sistema operativo,Usuarios
0,245701u,Windows OS,1
1,1120u,Windows OS,1
2,267373u,Mac OS,1
3,149066u,Windows OS,1
4,90480u,Windows OS,1
5,40689u,Windows OS,1
6,176035u,Windows OS,1
7,291774u,Mac OS,1
8,96542u,Mac OS,1
9,45944u,Windows OS,1
10,285953u,Windows OS,1
11,281411u,Windows OS,1
12,248752u,Windows OS,1
13,238047u,Mac OS,1
14,179895u,Windows OS,1
15,125838u,Mac OS,1
16,224278u,Windows OS,1
17,247753u,Windows OS,1
18,218099u,Windows OS,1
19,192022u,Mac OS,1
20,213833u,Windows OS,1
21,61649u,Windows OS,1
22,207805u,Windows OS,1
23,210815u,Mac OS,1
24,543u,Windows OS,1
25,105294u,Windows OS,1
26,91839u,Mac OS,1
27,119612u,Windows OS,1
28,192696u,Windows OS,1
29,258347u,Windows OS,1
30,169443u,Windows OS,1
31,31882u,Windows OS,1
32,269268u,Mac OS,1
33,35678u,Windows OS,1
34,282867u,Windows OS,1
35,129549u,Windows OS,1
36,69955u,Windows OS,1
37,166746u,Windows OS,1
38,54077u,Windows OS,1
39,9842u,Windows OS,1
40,50897u,Windows OS,1
41,40647u,Windows OS,1
42,220674u,Windows OS,1
43,89221u,Windows OS,1
44,227627u,Windows OS,1
45,1847u,Windows OS,1
46,187462u,Mac OS,1
47,59840u,Windows OS,1
48,274255u,Windows OS,1
49,10106u,Mac OS,1
50,205198u,Windows OS,1
51,226800u,Windows OS,1
52,41365u,Windows OS,1
53,86009u,Mac OS,1
54,155895u,Windows OS,1
55,24887u,Windows OS,1
56,99417u,Windows OS,1
57,280248u,Windows OS,1
58,289972u,Windows OS,1
59,165648u,Windows OS,1
60,139365u,Windows OS,1
61,96365u,Windows OS,1
62,93443u,Mac OS,1
63,270085u,Windows OS,1
64,21793u,Mac OS,1
65,98293u,Windows OS,1
66,296689u,Windows OS,1
67,262007u,Windows OS,1
68,111098u,Mac OS,1
69,226892u,Mac OS,1
70,111569u,Windows OS,1
71,77350u,Windows OS,1
72,280036u,Mac OS,1
73,54620u,Windows OS,1
74,125624u,Windows OS,1
75,69389u,Windows OS,1
76,272272u,Mac OS,1
77,107544u,Windows OS,1
78,21021u,Mac OS,1
79,43207u,Mac OS,1
80,102837u,Windows OS,1
81,13162u,Windows OS,1
82,196662u,Mac OS,1
83,291854u,Windows OS,1
84,241262u,Mac OS,1
85,270508u,Mac OS,1
86,184932u,Windows OS,1
87,138683u,Windows OS,1
88,17142u,Mac OS,1
89,147713u,Windows OS,1
90,84181u,Windows OS,1
91,58465u,Windows OS,1
92,113243u,Mac OS,1
93,299332u,Windows OS,1
94,124992u,Windows OS,1
95,40700u,Windows OS,1
96,84089u,Windows OS,1
97,232375u,Windows OS,1
98,265518u,Mac OS,1
99,76843u,Windows OS,1
100,234427u,Windows OS,1
101,62760u,Mac OS,1
102,147750u,Windows OS,1
103,258968u,Windows OS,1
